ID,Topic,Question Type,Bloom,Question,A,B,C,D,Answer,Explanation,Validation
Q01,Functions,Conceptual,Remember,Which keyword is used to define a function in Python?,func,define,def,function,C,Python uses def to define a function.,y
Q02,Functions,Method Identification,Remember,Which built-in function is used to find the length of a sequence?,size(),len(),length(),count(),B,len() returns the number of items in a sequence.,y
Q03,Functions,Conceptual,Understand,What is the main purpose of a function parameter?,To store the function name,To receive a value supplied to the function,To terminate the program,To create a module,B,A parameter receives a value when the function is called.,y
Q04,Functions,Function Analysis,Understand,What does the return statement primarily do in a Python function?,Repeats the function,Sends a value back to the caller,Defines a parameter,Imports a module,B,return sends a value from the function to the calling code.,y
Q05,Functions,Output Prediction,Apply,What is printed? def square(x): return x*x followed by print(square(4)),8,12,16,20,C,square(4) evaluates to 4 × 4 = 16.,y
Q06,Functions,Function Analysis,Apply,"Given def add(a,b): return a+b, what value is returned by add(7,3)?",4,10,21,73,B,"The arguments 7 and 3 are substituted into a+b, giving 10.",y
Q07,Functions,Statement Evaluation,Apply,"Which statement correctly calls greet(name) with the string ""Nav"" as its argument?","greet = ""Nav""","greet(""Nav"")","call greet(""Nav"")",greet[name],B,The function is called by writing its name followed by the argument in parentheses.,y
Q08,Functions,Code Tracing,Apply,What is the value of x after execution? x=2; x=x+3; x=x*2,5,7,10,12,C,"x changes from 2 to 5, then from 5 to 10.",Wrong Domain.
Q09,Functions,Output Prediction,Analyse,What is printed? def double(x): return x*2; def add_one(x): return x+1; print(add_one(double(3))),6,7,8,9,C,"double(3) gives 6, which is then passed to add_one, producing 7. Correction: the correct answer is B, not C.",Wrong Answer given by the system but it was also addressed.
Q10,Functions,Function Analysis,Analyse,Consider def f(x): return x+2 and def g(x): return f(x)*3. Which value is passed from f to the multiplication operation when g(4) is called?,4,6,12,18,B,"g(4) calls f(4), which returns 6; that returned value is then multiplied by 3.",y
Q11,Lists,Conceptual,Remember,"Which Python data structure is represented by [10, 20, 30]?",Tuple,List,Dictionary,Set,B,Square brackets represent a list.,y
Q12,Lists,Method Identification,Remember,Which list method adds one item to the end of a list?,insert(),extend(),append(),add(),C,append() adds one item to the end of a list.,y
Q13,Lists,Data Structure Operations,Understand,What does L[1:4] represent when L is a list?,"Elements at indexes 1, 2, and 3","Elements at indexes 1, 2, 3, and 4",Only element at index 4,The first four elements,A,"The ending index is excluded, so indexes 1 through 3 are selected.",y
Q14,Lists,Syntax Identification,Understand,Which expression correctly accesses the first element of list L?,L[1],L[0],L(first),L.first(),B,"Python uses zero-based indexing, so the first element is at index 0.",y
Q15,Lists,Output Prediction,Apply,"What is printed? L=[10,20,30]; print(L[1])",10,20,30,1,B,"Index 1 refers to the second element, 20.",y
Q16,Lists,Data Structure Operations,Apply,"If L=[1,2,3], what is L after L.append(4)?","[4,1,2,3]","[1,2,3]","[1,2,3,4]","[1,4,2,3]",C,append() adds the item to the end.,y
Q17,Lists,Code Tracing,Apply,"What is the final value of L? L=[1,2]; L.append(3); L.pop()","[1,2]","[1,3]","[2,3]","[1,2,3]",A,"append(3) gives [1,2,3]; pop() removes the last item, returning [1,2].",y
Q18,Lists,Statement Evaluation,Apply,"If L=[5,10,15], which statement changes the second element to 20?",L[2]=20,L[1]=20,L(1)=20,L[0]=20,B,The second element has index 1.,y
Q19,Lists,Data Structure Operations,Analyse,"What is the final structure of L after L=[1,2]; L.append([3,4]); L.extend([5,6])?","[1,2,3,4,5,6]","[1,2,[3,4],5,6]","[1,2,[3,4],[5,6]]","[1,2,3,4,[5,6]]",B,"append() adds [3,4] as one nested item, while extend() adds 5 and 6 separately.",Debatable: Apply vs Analyse
Q20,Lists,Output Prediction,Analyse,"What is printed? L=[1,2,3]; L.append(4); L.remove(2); L.insert(1,5); print(L)","[1,5,3,4]","[1,2,5,3,4]","[5,1,3,4]","[1,3,5,4]",A,"The list changes successively to [1,2,3,4], [1,3,4], then [1,5,3,4].",Debatable: Apply vs Analyse
Q21,Dictionary,Syntax Identification,Remember,Which brackets are used to define a dictionary literal?,(),[],{},<>,C,Python dictionaries are written using curly braces.,y
Q22,Dictionary,Statement Evaluation,Remember,Which statement is valid Python syntax for creating an empty dictionary?,d=[],d=(),d={},"d=""""",C,{} creates an empty dictionary.,y
Q23,Dictionary,Conceptual,Understand,What does a dictionary store?,Only ordered numbers,Key-value pairs,Only strings,A sequence of characters,B,A dictionary stores values associated with keys.,y
Q24,Dictionary,Method Identification,Understand,Which dictionary method returns all keys?,values(),items(),keys(),keylist(),C,keys() returns a view containing the dictionary's keys.,y
Q25,Dictionary,Data Structure Operations,Apply,"If d={""a"":10,""b"":20}, what is the result of d[""b""]?","""b""",10,20,Error,C,"The key ""b"" maps to the value 20.",y
Q26,Dictionary,Function Analysis,Apply,"Given def get_value(d,k): return d[k], what does get_value({""x"":5},""x"") return?","""x""",5,"{""x"":5}",Error,B,"The function uses ""x"" as the key and returns its associated value, 5.",y
Q27,Dictionary,Debugging,Apply,"d={""a"":10}. A student writes print(d[""b""]) and gets an error. Which change correctly prevents the lookup from failing by providing a default value?","print(d.get(""b"",0))","print(d.add(""b"",0))","print(d.default(""b""))","print(d[""b"",0])",A,get() can return a specified default when the key is absent.,y
Q28,Dictionary,Error Identification,Apply,"What error occurs when d={""a"":1} and the program executes print(d[""b""])?",SyntaxError,KeyError,IndexError,NameError,B,"The requested key ""b"" does not exist, producing a KeyError.",Debatable: Apply vs Analyse
Q29,Dictionary,Code Tracing,Analyse,"What is the final value of d? d={""a"":1}; d[""b""]=2; d[""a""]=d[""b""]+3; del d[""b""]","{""a"":1}","{""a"":5}","{""a"":5,""b"":2}","{""b"":2}",B,b becomes 2; a becomes 5; then b is deleted.,Debatable: Apply vs Analyse
Q30,Dictionary,Statement Evaluation,Analyse,"Given d={""a"":1,""b"":2}, which statement correctly evaluates whether the value associated with ""a"" is smaller than the value associated with ""b""?","d[""a""] < d[""b""]","d[""a""] > d[""b""]","""a"" < ""b""","d[""a""] = d[""b""]",A,"The expression compares the two associated values, 1 and 2.",y
Q31,Strings,Syntax Identification,Remember,Which quotation marks can be used to create a Python string?,Only (),Only [],Single or double quotation marks,Only {},C,Python strings can be enclosed in single or double quotation marks.,y
Q32,Strings,Error Identification,Remember,Which error is associated with an unterminated string literal?,SyntaxError,KeyError,IndexError,TypeError,A,An unterminated string causes a syntax error.,y
Q33,Strings,Statement Evaluation,Understand,"Which statement correctly describes ""Python""[1:4]?",It selects characters at indexes 1 through 3,It selects characters at indexes 1 through 4,It selects only index 4,It reverses the string,A,String slicing includes the start index and excludes the end index.,y
Q34,Strings,Error Identification,Understand,"Why would ""Python""[10] cause an IndexError?",The string cannot contain letters,Index 10 is outside the valid index range,Strings cannot be indexed,Python starts indexing at 1,B,"""Python"" has indexes 0 through 5, so index 10 is invalid.",y
Q35,Strings,Data Structure Operations,Apply,"What is the result of ""Python""[2:5]?","""Pyt""","""yth""","""tho""","""hon""",C,"Indexes 2, 3, and 4 contain t, h, and o.",y
Q36,Strings,Debugging,Apply,"A student wants to convert ""hello"" to uppercase but writes s.uppercase(). Which correction should be made?",Use s.upper(),Use s.uppercase,Use uppercase(s),Use s.toUpper(),A,Python's string method for uppercase conversion is upper().,y
